OSHPD_ID,FAC_NAME,FAC_ADDRESS_ONE,FAC_ADDRESS_TWO,FAC_CITY,FAC_ZIPCODE,FAC_PHONE,FAC_ADMIN_NAME,FAC_OPER_CURRYR,BEG_DATE,END_DATE,PARENT_NAME,PARENT_ADDRESS_ONE,PARENT_ADDRESS_TWO,PARENT_CITY,PARENT_STATE,PARENT_ZIP_9,REPORT_PREP_NAME,LIC_STATUS,LIC_STATUS_DATE,LIC_ORIG_DATE,REPORT_STATUS,MGT_COMPANY,TRAUMA_CTR,TEACH_HOSP,MCAL_PROVIDER_NO,MCARE_PROVIDER_NO,ACLAIMS_NO,ASSEMBLY_DIST,SENATE_DIST,CONGRESS_DIST,CENS_TRACT,MED_SVC_STUDY_AREA,LACO_SVC_PLAN_AREA,HEALTH_SVC_AREA,COUNTY,LICENSE_NO,FACILITY_LEVEL,LONGITUDE,LATITUDE,TYPE_LIC,TYPE_CNTRL,TYPE_SVC_PRINCIPAL,MED_SURG_BED_LIC,MED_SURG_LICBED_DAY,MED_SURG_DIS,MED_SURG_CENS_DAY,PERINATL_BED_LIC,PERINATL_LICBED_DAY,PERINATL_DIS,PERINATL_CENS_DAY,PED_BED_LIC,PED_LICBED_DAY,PED_DIS,PED_CENS_DAY,ICU_BED_LIC,ICU_LICBED_DAY,ICU_DIS,ICU_TFR_INHOSP,ICU_CENS_DAY,CCU_BED_LIC,CCU_LICBED_DAY,CCU_DIS,CCU_TFR_INHOSP,CCU_CENS_DAY,RESP_BED_LIC,RESP_LICBED_DAY,RESP_DIS,RESP_TFR_INHOSP,RESP_CENS_DAY,BURN_BED_LIC,BURN_LICBED_DAY,BURN_DIS,BURN_TFR_INHOSP,BURN_CENS_DAY,NICU_BED_LIC,NICU_LICBED_DAY,NICU_DIS,NICU_TFR_INHOSP,NICU_CENS_DAY,REHAB_BED_LIC,REHAB_LICBED_DAY,REHAB_DIS,REHAB_CENS_DAY,GAC_BED_LIC_SUBTOTL,GAC_LICBED_DAY_SUBTOTL,GAC_DIS_SUBTOTL,GAC_CENS_DAY_SUBTOTL,CHEM_BED_LIC,CHEM_LICBED_DAY,CHEM_DIS,CHEM_CENS_DAY,PSY_BED_LIC,PSY_LICBED_DAY,PSY_DIS,PSY_CENS_DAY,SN_BED_LIC,SN_LICBED_DAY,SN_DIS,SN_TFR_INHOSP,SN_CENS_DAY,IC_BED_LIC,IC_LICBED_DAY,IC_DIS,IC_CENS_DAY,IC_DEV_DISBL_BED_LIC,IC_DEV_DISBL_LICBED_DAY,IC_DEV_DISBL_DIS,IC_DEV_DISBL_CENS_DAY,HOSP_BED_LIC_TOTL,HOSP_LICBED_DAY_TOTL,HOSP_DIS_TOTL,HOSP_CENS_DAY_TOTL,CHEM_GAC_BED_LIC,CHEM_GAC_DIS,CHEM_GAC_CENS_DAY,CHEM_PSY_BED_LIC,CHEM_PSY_DIS,CHEM_PSY_CENS_DAY,NEWBORN_NURSRY_BASSINETS,NEWBORN_NURSRY_INFANTS,NEWBORN_NURSRY_CENS_DAY,BED_SWING_SN,PSY_LCK_CENS_PATIENT,PSY_OPN_CENS_PATIENT,PSY_CENS_PATIENT_TOTL,PSY_CENS_PATIENT_<=17,PSY_CENS_PATIENT_18-64,PSY_CENS_PATIENT_=65,PSY_CENS_PATIENT_TOTL,PSY_CENS_PATIENT_MCAR,PSY_CENS_PATIENT_MNG_MCAR,PSY_CENS_PATIENT_MCAL,PSY_CENS_PATIENT_MNG_MCAL,PSY_CENS_PATIENT_CO_INDIG,PSY_CENS_PATIENT_OTHR_THIRDPTY,PSY_CENS_PATIENT_MNG_OTHR_THIRDPTY,PSY_CENS_PATIENT_SHDOYL,PSY_CENS_PATIENT_OTHR_INDIG,PSY_CENS_PATIENT_OTHR_PAYER,PSY_CENS_PATIENT_TOTL,PSY_PROG_SHDOYL,HOSPICE_PROG,HOSPICE_CLASS_GAC_BED,HOSPICE_CLASS_SN_BED,HOSPICE_CLASS_IC_BED,INPATIENT_PALLIATIVE_CARE_PROG_OFFERED,INPATIENT_PALLIATIVE_CARE_PROG_NURSES,INPATIENT_PALLIATIVE_CARE_PROG_NURSES_CERTIFIED,INPATIENT_PALLIATIVE_CARE_PROG_PHYSICIAN,INPATIENT_PALLIATIVE_CARE_PROG_PHYSICIAN_CERTIFIED,INPATIENT_PALLIATIVE_CARE_PROG_SOCIAL_WORKER,INPATIENT_PALLIATIVE_CARE_PROG_SOCIAL_WORKER_CERTIFIED,INPATIENT_PALLIATIVE_CARE_PROG_CHAPLAINS,OUTPATIENT_PALLIATIVE_CARE_SERV_OFFERED,EMSA_TRAUMA_CTR_DESIG,EMSA_TRAUMA_PEDS_CTR_DESIG,ED_LIC_LEVL_BEGIN,ED_LIC_LEVL_END,ED_ANESTH_AVAIL24HRS,ED_ANESTH_AVAIL_ON_CALL,ED_LAB_SVCS_AVAIL24HRS,ED_LAB_SVCS_AVAIL_ON_CALL,ED_OP_RM_AVAIL24HRS,ED_OP_RM_AVAIL_ON_CALL,ED_PHARM_AVAIL24HRS,ED_PHARM_AVAIL_ON_CALL,ED_PHYSN_AVAIL24HRS,ED_PHYSN_AVAIL_ON_CALL,ED_PSYCH_ER_AVAIL24HRS,ED_PSYCH_ER_AVAIL_ON_CALL,ED_RADIOL_SVCS_AVAIL24HRS,ED_RADIOL_SVCS_AVAIL_ON_CALL,EMS_VISITS_NON_URGENT_NOT_ADMITTED,EMS_VISITS_NON_URGENT_ADMITTED,EMS_VISITS_URGENT_NOT_ADMITTED,EMS_VISITS_URGENT_ADMITTED,EMS_VISITS_MODERATE_NOT_ADMITTED,EMS_VISITS_MODERATE_ADMITTED,EMS_VISITS_SEVERE_NOT_ADMITTED,EMS_VISITS_SEVERE_ADMITTED,EMS_VISITS_CRITICAL_NOT_ADMITTED,EMS_VISITS_CRITICAL_ADMITTED,EMS_NO_ADM_VIS_TOTL,EMS_ADM_VIS_TOTL,ED_TRAFFIC_TOTL,EMS_STATION,EMS_NON_EMERG_VIS,EMS_REGISTERS_NO_TREAT,EMS_AMB_DIVERS,EMS_AMB_DIVERS_JAN_HOURS,EMS_AMB_DIVERS_FEB_HOURS,EMS_AMB_DIVERS_MAR_HOURS,EMS_AMB_DIVERS_APR_HOURS,EMS_AMB_DIVERS_MAY_HOURS,EMS_AMB_DIVERS_JUN_HOURS,EMS_AMB_DIVERS_JUL_HOURS,EMS_AMB_DIVERS_AUG_HOURS,EMS_AMB_DIVERS_SEP_HOURS,EMS_AMB_DIVERS_OCT_HOURS,EMS_AMB_DIVERS_NOV_HOURS,EMS_AMB_DIVERS_DEC_HOURS,EMS_AMB_DIVERS_TOTL_HOURS
106010776,CHILDRENS HOSPITAL AND RESEARCH CENTER AT OAKLAND,747 52ND STREET,,OAKLAND,94609,510-428-3000,"Bertram Lubin, MD",Yes,1/1/15,12/31/15,,,,,,,Terry Oertel,Open,1/1/46,1/1/46,,,Level I - Pediatric,NO,,,140000014,15,9,13,6001401000,2c,,05 - East Bay,Alameda,140000015,Parent Facility,-122.26747,37.83722,General Acute Care,Non-Profit Corporation (incl. Church-related),Pediatric,0,0,0,0,0,0,0,0,111,40515,8809,30855,23,8395,421,1032,5803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,16060,474,43,9298,12,4380,382,2831,190,69350,10086,48787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,69350,10086,48787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,No,,,,No,0,0,0,0,0,0,0,No,0,LEVEL I PEDS,Basic,Basic,YES,,YES,,YES,,YES,,YES,,,YES,YES,,189,6,13519,125,16600,627,7702,1396,3615,4299,41625,6453,48078,37,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0
106010844,ALTA BATES SUMMIT MEDICAL CENTER-HERRICK CAMPUS,2001 DWIGHT WAY,,BERKELEY,94704,510-204-4444,"Thomas L. Bonas, PhD",Yes,1/1/15,12/31/15,Sutter Health,2200 River Plaza,,Sacramento,CA,95833,Sergio Cordova,Open,1/1/46,1/1/46,,,,NO,,,140000006,15,9,13,6001422900,2a,,05 - East Bay,Alameda,140000004,Consolidated Facility,-122.26984,37.86373,General Acute Care,Non-Profit Corporation (incl. Church-related),Psychiatric,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,25185,2070,16016,0,0,0,0,0,0,0,0,0,0,0,0,0,69,25185,2070,16016,0,0,0,0,0,0,0,0,0,0,31,0,31,4,16,11,31,11,0,6,0,0,14,0,0,0,0,31,Yes,No,,,,No,0,0,0,0,0,0,0,No,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0
106010887,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,2800 BENEDICT DRIVE,,SAN LEANDRO,94577,510-357-8300,Jacob Michael McCarty,Yes,1/1/15,12/31/15,Kindred Healthcare Inc.,680 4th St,,Louisville,KY,40202,Bhakta Magar,Open,11/13/62,11/13/62,,,,NO,,,140000148,18,9,13,6001432800,2f,,05 - East Bay,Alameda,140000066,Parent Facility,-122.13119,37.71621,General Acute Care,Investor - Corporation,General Medical / Surgical,89,32485,405,18513,0,0,0,0,0,0,0,0,10,3650,78,430,2108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,36135,483,20621,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,99,36135,483,20621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,No,,,,No,0,0,0,0,0,0,0,No,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0
106010937,ALTA BATES SUMMIT MEDICAL CENTER,350 HAWTHORNE AVENUE,,OAKLAND,94609,510-655-4000,Charles J. Prosper,Yes,1/1/15,12/31/15,Sutter Health,2200 River Plaza,,Sacramento,CA,95833,Sergio Cordova,Open,1/1/46,1/1/46,,,,NO,,,140000425,18,9,13,6001401300,2m,,05 - East Bay,Alameda,140000284,Parent Facility,-122.26257,37.82106,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,309,112785,11905,48766,0,0,0,0,0,0,0,0,30,10950,412,1027,5219,6,2190,151,440,1268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,21170,1087,16013,403,147095,13555,71266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403,147095,13555,71266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,No,,,,Yes,1,1,2,2,2,0,2,No,0,0,Basic,Basic,YES,,YES,,YES,,YES,,YES,,,YES,YES,,567,0,4122,0,13359,0,13178,0,6450,0,37676,9043,46719,31,0,1265,Yes,0,0,12,8,0,2,2,4,8,2,8,2,48
106010967,ST. ROSE HOSPITAL,27200 CALAROGA AVENUE,,HAYWARD,94545,510-264-4000,Lex Reddy,Yes,1/1/15,12/31/15,Hayward Sisters Hospital,27200 Calaroga Ave,,Hayward,CA,94545-4383,May Woodward,Open,10/10/62,10/10/62,,,,NO,,,140000041,20,10,15,6001437300,2g,,05 - East Bay,Alameda,140000107,Parent Facility,-122.08962,37.63291,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,163,59495,4927,22505,17,6205,783,1924,0,0,0,0,9,3285,254,913,2828,6,2190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,71175,5964,27257,0,0,0,0,0,0,0,0,22,8030,0,,0,0,0,0,0,0,0,0,0,217,79205,5964,27257,0,0,0,0,0,0,24,759,1665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,No,,,,No,0,0,0,0,0,0,0,No,0,0,Basic,Basic,,YES,YES,,,YES,,YES,YES,,,,YES,,340,0,8728,6,13834,37,7788,109,2777,4266,33467,4418,37885,17,0,758,No,0,0,0,0,0,0,0,0,0,0,0,0,0
106010983,VALLEY MEMORIAL HOSPITAL,1111 E. STANLEY BOULEVARD,,LIVERMORE,94550,925-847-3000,Scott Gregerson,Yes,1/1/15,12/31/15,ValleyCare Health System,5575 W. Las Positas Blvd,,Pleasanton,CA,94588,Matthew Reed,Open,10/19/69,10/19/69,,,,NO,,,140000199,16,7,15,6001451602,1.1,,05 - East Bay,Alameda,140000114,Consolidated Facility,-121.78252,37.6787,General Acute Care,Non-Profit Corporation (incl. Church-related),Long-Term Care (SN/IC),25,9125,0,0,0,0,0,0,0,0,0,0,3,1095,0,0,0,7,2555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,12775,0,0,0,0,0,0,14,5110,179,2432,26,9490,505,0,8317,0,0,0,0,0,0,0,0,75,27375,684,10749,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,5,5,5,0,0,0,0,0,0,0,0,0,5,No,No,,,,No,0,0,0,0,0,0,0,No,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0
106010987,WASHINGTON HOSPITAL - FREMONT,2000 MOWRY AVENUE,,FREMONT,94538,510-797-1111,Nancy Farber,Yes,1/1/15,12/31/15,,,,,,,Daniel Nardoni,Open,11/19/58,11/19/58,,,,NO,,,140000118,20,10,17,6001441924,2l,,05 - East Bay,Alameda,140000116,Parent Facility,-121.98006,37.55847,General Acute Care,District,General Medical / Surgical,259,94535,11528,48880,22,8030,1655,3807,17,6205,225,385,13,4745,233,1577,3508,16,5840,134,658,2418,0,0,0,0,0,0,0,0,0,0,14,5110,163,190,1390,0,0,0,0,341,124465,13938,60388,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,341,124465,13938,60388,0,0,0,0,0,0,22,1655,3807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,No,,,,No,0,0,0,0,0,0,0,No,0,0,Basic,Basic,YES,,YES,,YES,,YES,,YES,,,YES,YES,,28,0,228,0,14478,14,17144,227,11042,6660,42920,6901,49821,23,0,1309,No,0,0,0,0,0,0,0,0,0,0,0,0,0
106013619,SAN LEANDRO HOSPITAL,13855 EAST 14TH STREET,,SAN LEANDRO,94578,510-437-4800,James Jackson,Yes,1/1/15,12/31/15,Alameda Health System,15400 Foothill Blvd,,San Leandro,CA,94578,Jody Copeland,Open,9/1/12,8/9/60,,,,NO,,,140000186,18,9,13,6001433104,2h,,05 - East Bay,Alameda,550002039,Parent Facility,-122.14067,37.71364,General Acute Care,City and/or County,General Medical / Surgical,84,30660,2572,10577,0,0,0,0,0,0,0,0,9,3285,489,191,1940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,33945,3061,12517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,33945,3061,12517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,No,,,,No,0,0,0,0,0,0,0,No,0,0,Basic,Basic,,YES,YES,,,YES,,YES,YES,,,YES,YES,,308,0,7689,5,12456,109,6560,571,4183,1016,31196,1701,32897,12,0,712,No,0,0,0,0,0,0,0,0,0,0,0,0,0
106013626,ALTA BATES SUMMIT MEDICAL CENTER - SUMMIT CAMPUS,3100 SUMMIT STREET,,OAKLAND,94609,510-655-4000,Charles J. Prosper,Yes,1/1/15,12/31/15,Sutter Health,2200 River Plaza,,Sacramento,CA,95833,Sergio Cordova,Open,1/1/46,1/1/46,,,,NO,,,140000203,18,9,13,6001401300,2m,,05 - East Bay,Alameda,140000284,Consolidated Facility,-122.2643,37.81994,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,75,32835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,32835,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,75,32835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,No,,,,No,0,0,0,0,0,0,0,No,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0
106013687,MPI CHEMICAL DEPENDENCY RECOVERY HOSPITAL,"3012 SUMMIT STREET, 5TH FLOOR",,OAKLAND,94609,510-869-8850,"Thomas L. Bonas, PhD",Yes,1/1/15,12/31/15,Sutter East Bay Hospitals,350 Hawthorne Avenue,,Oakland,CA,94609,Sergio Cordova,Open,10/12/83,10/12/83,,,,NO,,,140000025,18,9,13,6001401300,2m,,05 - East Bay,Alameda,140000232,Parent Facility,-122.26451,37.81906,Chemical Dependency Recovery Hospital,Non-Profit Corporation (incl. Church-related),Chemical Dependency (Alcohol/Drug),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,8760,565,7268,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,24,8760,565,7268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,No,,,,No,0,0,0,0,0,0,0,No,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0
