facility.oshpd.id,facility.hospital.name,facility.street.address,facility.city.name,facility.zip.code,facility.county.name,facility.owner,facility.begin.date,facility.end.date,operating.rooms.surgery.recovery.services,operating.rooms.ambulatory.surgery.services,operating.rooms.satellite.ambulatory.surgery.center,surgeries.surgery.recovery.services,surgeries.ambulatory.surgery.services,surgeries.satellite.ambulatory.surgery.center,open.heart.surgeries.surgery.recovery.services,inpatient.surgeries.surgery.recovery.services,inpatient.surgeries.ambulatory.surgery.services,inpatient.surgeries.satellite.ambulatory.surgery.center,outpatient.surgeries.surgery.recovery.services,outpatient.surgeries.ambulatory.surgery.services,outpatient.surgeries.satellite.ambulatory.surgery.center,outpatient.surgeries,surgery.mins.surgery.recovery.services,surgery.mins.ambulatory.surgery.services,surgery.mins.satellite.ambulatory.surgery.center,open.heart.surgery.mins.surgery.recovery.services,inpatient.surgery.mins.surgery.recovery.services,inpatient.surgery.mins.ambulatory.surgery.services,inpatient.surgery.mins.satellite.ambulatory.surgery.center,outpatient.surgery.mins.surgery.recovery.services,outpatient.surgery.mins.ambulatory.surgery.services,outpatient.surgery.mins.satellite.ambulatory.surgery.center,gross.revenue.satellite.ambulatory.surgery.center,gross.revenue.surgery.recovery.services,gross.revenue.ambulatory.surgery.services,gross.revenue.total,net.revenue.satellite.ambulatory.surgery.center,net.revenue.surgery.recovery.services,net.revenue.ambulatory.surgery.services,net.revenue.total,inpatient.gross.revenue.satellite.ambulatory.surgery.center.medicare.traditional,inpatient.gross.revenue.surgery.recovery.services.medicare.traditional,inpatient.gross.revenue.ambulatory.surgery.services.medicare.traditional,outpatient.gross.revenue.satellite.ambulatory.surgery.center.medicare.traditional,outpatient.gross.revenue.surgery.recovery.services.medicare.traditional,outpatient.gross.revenue.ambulatory.surgery.services.medicare.traditional,inpatient.gross.revenue.surgery.recovery.services.medicare.managed,inpatient.gross.revenue.ambulatory.surgery.services.medicare.managed,outpatient.gross.revenue.satellite.ambulatory.surgery.center.medicare.managed,outpatient.gross.revenue.surgery.recovery.services.medicare.managed,outpatient.gross.revenue.ambulatory.surgery.services.medicare.managed,inpatient.gross.revenue.surgery.recovery.services.medical.traditional,inpatient.gross.revenue.ambulatory.surgery.services.medical.traditional,outpatient.gross.revenue.satellite.ambulatory.surgery.center.medical.traditional,outpatient.gross.revenue.surgery.recovery.services.medical.traditional,outpatient.gross.revenue.ambulatory.surgery.services.medical.traditional,inpatient.gross.revenue.surgery.recovery.services.medical.managed,inpatient.gross.revenue.ambulatory.surgery.services.medical.managed,outpatient.gross.revenue.satellite.ambulatory.surgery.center.medical.managed,outpatient.gross.revenue.surgery.recovery.services.medical.managed,outpatient.gross.revenue.ambulatory.surgery.services.medical.managed,inpatient.gross.revenue.surgery.recovery.services.county.indigent.traditional,inpatient.gross.revenue.ambulatory.surgery.services.county.indigent.traditional,outpatient.gross.revenue.satellite.ambulatory.surgery.center.county.indigent.traditional,outpatient.gross.revenue.surgery.recovery.services.county.indigent.traditional,outpatient.gross.revenue.ambulatory.surgery.services.county.indigent.traditional,inpatient.gross.revenue.surgery.recovery.services.county.indigent.managed,inpatient.gross.revenue.ambulatory.surgery.services.county.indigent.managed,outpatient.gross.revenue.surgery.recovery.services.county.indigent.managed,outpatient.gross.revenue.ambulatory.surgery.services.county.indigent.managed,inpatient.gross.revenue.surgery.recovery.services.other.third.parties.traditional,inpatient.gross.revenue.ambulatory.surgery.services.other.third.parties.traditional,outpatient.gross.revenue.satellite.ambulatory.surgery.center.other.third.parties.traditional,outpatient.gross.revenue.surgery.recovery.services.other.third.parties.traditional,outpatient.gross.revenue.ambulatory.surgery.services.other.third.parties.traditional,inpatient.gross.revenue.satellite.ambulatory.surgery.center.other.third.parties.managed,inpatient.gross.revenue.surgery.recovery.services.other.third.parties.managed,inpatient.gross.revenue.ambulatory.surgery.services.other.third.parties.managed,outpatient.gross.revenue.satellite.ambulatory.surgery.center.other.third.parties.managed,outpatient.gross.revenue.surgery.recovery.services.other.third.parties.managed,outpatient.gross.revenue.ambulatory.surgery.services.other.third.parties.managed,inpatient.gross.revenue.surgery.recovery.services.other.indigent,inpatient.gross.revenue.ambulatory.surgery.services.other.indigent,outpatient.gross.revenue.satellite.ambulatory.surgery.center.other.indigent,outpatient.gross.revenue.surgery.recovery.services.other.indigent,outpatient.gross.revenue.ambulatory.surgery.services.other.indigent,inpatient.gross.revenue.surgery.recovery.services.other.payors,inpatient.gross.revenue.ambulatory.surgery.services.other.payors,outpatient.gross.revenue.satellite.ambulatory.surgery.center.other.payors,outpatient.gross.revenue.surgery.recovery.services.other.payors,outpatient.gross.revenue.ambulatory.surgery.services.other.payors,inpatient.gross.revenue.satellite.ambulatory.surgery.center,inpatient.gross.revenue.surgery.recovery.services,inpatient.gross.revenue.ambulatory.surgery.services,inpatient.gross.revenue.total,outpatient.gross.revenue.satellite.ambulatory.surgery.center,outpatient.gross.revenue.surgery.recovery.services,outpatient.gross.revenue.ambulatory.surgery.services,outpatient.gross.revenue.total,net.profit.surgery.recovery.services,net.profit.ambulatory.surgery.services,net.profit.satellite.ambulatory.surgery.center,net.profit.total
106370749,ALVARADO PARKWAY INSTITUTE,7050 PARKWAY DRIVE,LA MESA,92042,0,HELIX HEALTHCARE,1/1/14,1/4/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53707052,0,0,0,25173143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29515668,0,0,0,24191384,0,0,0,1572695
106380929,CALIFORNIA PACIFIC MEDICAL CENTER,2333 BUCHANAN STREET,SAN FRANCISCO,94120,0,SUTTER WEST BAY HOSPITALS,1/1/14,12/31/14,11,22,0,16745,36,0,251,6872,12,0,9873,24,0,9897,2195235,3060,0,83955,1211445,1710,0,983790,1350,0,0,327398550,1678034,3434305169,0,109196925,559673,1198851359,0,64063105,110469,0,24896958,238951,15668909,54912,0,7600623,185896,6921860,49131,0,1711784,756,12121988,70052,0,9398350,146024,0,0,0,0,0,44064,1716,0,0,9088810,41132,0,4750623,44555,0,69539284,223687,0,72076640,428453,535085,4410,0,5869112,24794,7336750,53096,0,15774605,0,0,185319855,608605,2342148125,0,142078695,1069429,1092157044,43596325,-13138854,0,178763170
106010735,ALAMEDA HOSPITAL,2070 CLINTON AVENUE,ALAMEDA,94501,Alameda County,ALAMEDA HEALTH SYSTEM,5/1/14,6/30/14,6,0,0,369,0,0,0,86,0,0,283,0,0,283,21384,0,0,0,10186,0,0,11198,0,0,0,3742319,0,50733313,0,1085790,0,15242468,0,602247,0,0,753820,0,232001,0,0,70170,0,30417,0,0,12257,0,145337,0,0,928520,0,76833,0,0,81226,0,0,0,0,0,42438,0,0,7788,0,0,381137,0,0,373839,0,763,0,0,0,0,3526,0,0,0,0,0,1514699,0,33325649,0,2227620,0,17407664,-26201,0,0,-3565605
106010739,ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMPUS,2450 ASHBY AVENUE,BERKELEY,94705,Alameda County,SUTTER HEALTH,1/1/14,12/31/14,13,0,0,6421,0,0,6,2583,0,0,3838,0,0,3838,708105,0,0,630,365130,0,0,342975,0,0,0,158978530,0,1988942795,0,48444608,0,614102579,0,20489463,0,0,28445270,0,3095034,0,0,4650082,0,3818416,0,0,4441548,0,4288795,0,0,16573900,0,0,0,0,43756,0,0,0,0,0,1931654,0,0,1742392,0,0,22166999,0,0,45712640,0,129771,0,0,42473,0,574622,0,0,831715,0,0,56494754,0,1305273170,0,102483776,0,683669625,16279391,0,0,34708952
106010776,CHILDREN'S HOSPITAL & RESEARCH CENTER OAKLAND,747 52ND STREET,OAKLAND,94609,Alameda County,CHILDREN'S HOSPITAL & RESEARCH CENTER OAKLAND,1/1/14,12/31/14,12,0,0,8529,0,0,121,3497,0,0,5032,0,0,5032,737700,0,0,37169,432360,0,0,305340,0,0,0,189223221,0,1181085821,0,68381792,0,451108465,0,42025,0,0,1210,0,0,0,0,0,0,56932230,0,0,19610848,0,16830720,0,0,29429614,0,0,0,0,162820,0,0,0,0,0,0,0,0,9470,0,0,32714448,0,0,32400907,0,450823,0,0,241792,0,257961,0,0,138353,0,0,107228207,0,753346556,0,81995014,0,427739265,18952413,0,0,-11439380
106010782,THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL,390 40TH STREET,OAKLAND,94609,Alameda County,"ADOLESCENT TREATMENT CENTERS, INC.",1/1/14,12/31/14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4827235,0,0,0,4138004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4748860,0,0,0,78375,0,0,0,-1909713
106010846,HIGHLAND HOSPITAL,1411 EAST 31ST STREET,OAKLAND,94602,Alameda County,ALAMEDA HEALTH SYSTEM,7/1/13,6/30/14,7,0,0,5581,0,0,0,2779,0,0,2802,0,0,2802,804443,0,0,0,474983,0,0,329460,0,0,0,101483473,0,1462432309,0,26508814,0,572484836,0,6060625,0,0,2858300,0,520701,0,0,181178,0,16302148,0,0,6287710,0,14395841,0,0,10453212,0,15886103,0,0,19001204,0,0,0,0,0,5177503,0,0,1560068,0,0,0,0,0,0,0,0,0,0,0,0,1577994,0,0,1220886,0,0,59920915,0,908055410,0,41562558,0,554376899,-3844213,0,0,50307415
106010856,KAISER FOUNDATION HOSPITALS - OAKLAND,280 W. MACARTHUR BLVD.,OAKLAND,94611,Alameda County,KAISER FOUNDATION HOSPITALS,1/1/14,6/30/14,18,0,0,9075,0,0,0,2947,0,0,6128,0,0,6128,1173177,0,0,0,499744,0,0,673433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106010887,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,2800 BENEDICT DRIVE,SAN LEANDRO,94577,Alameda County,"THC-ORANGE COUNTY, INC",1/1/14,12/31/14,2,0,0,219,0,0,0,219,0,0,0,0,0,0,23760,0,0,0,23760,0,0,0,0,0,0,1192635,0,132404363,0,374696,0,41530595,0,748643,0,0,0,0,131456,0,0,0,0,34275,0,0,0,0,143441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1192635,0,132404363,0,0,0,0,-990236,0,0,1133341
106010937,ALTA BATES SUMMIT MEDICAL CENTER - SUMMIT HAWTHORNE,HAWTHORNE AVE & WEBSTER ST,OAKLAND,94609,Alameda County,SUTTER HEALTH,1/1/14,12/31/14,12,19,0,5452,1747,0,280,2791,20,0,2661,1727,0,4388,734475,201990,0,80700,437700,3375,0,296775,198615,0,0,166314735,6912861,1442289054,0,34944060,1459245,311718438,0,37868560,48535,0,14358797,1760741,9887587,5727,0,4299686,472060,4201850,1778,0,997764,90870,17350009,23445,0,13790805,1581520,0,0,0,0,0,0,0,0,0,3136168,0,0,676688,53256,0,34636706,45741,0,23945611,2700385,104786,0,0,12072,0,380028,14263,0,667618,114540,0,107565694,139489,930983410,0,58749041,6773372,511305644,10721153,-3523798,0,-58510201
106010967,ST. ROSE HOSPITAL,27200 CALAROGA AVENUE,HAYWARD,94545,Alameda County,HAYWARD SISTERS HOSPITAL,10/1/13,9/30/14,4,2,0,1969,3660,0,0,1458,1537,0,511,2123,0,2634,441399,83858,0,0,326893,35220,0,114506,48638,0,0,74822484,8434946,651628076,0,11507134,1297231,110462641,0,17353593,1789838,0,4557619,1628462,5310452,238957,0,1439134,535881,4645413,560094,0,595397,144432,17614000,621570,0,7835862,992158,0,0,0,0,0,0,0,0,0,1643165,123276,0,1451188,50401,0,7559718,226147,0,4266145,1509934,187310,3039,0,46056,612,305446,6828,0,11986,3317,0,54619097,3569749,463534040,0,20203387,4865197,188094036,5330339,-719425,0,-8303476
106010987,WASHINGTON HOSPITAL - FREMONT,2000 MOWRY AVENUE,FREMONT,94538,Alameda County,WASHINGTON TOWNSHIP HEALTHCARE DISTRICT,7/1/13,6/30/14,7,0,0,4178,0,0,111,3360,0,0,818,0,0,818,535360,0,0,51963,461087,0,0,74273,0,0,0,125095409,0,1997932020,0,25179596,0,411616844,0,59846297,0,0,7472268,0,3724789,0,0,1141001,0,3973432,0,0,317337,0,4766737,0,0,1531215,0,0,0,0,0,0,0,0,0,0,4857636,0,0,807461,0,0,28297985,0,0,6748380,0,668689,0,0,42792,0,675415,0,0,223975,0,0,106810980,0,1517139365,0,18284429,0,480792655,-3951971,0,0,6102604
106013619,SAN LEANDRO HOSPITAL,13855 EAST 14TH STREET,SAN LEANDRO,94578,Alameda County,ALAMEDA HEALTH SYSTEM,10/31/13,6/30/14,5,0,0,901,0,0,0,383,0,0,518,0,0,518,94838,0,0,0,47065,0,0,47773,0,0,0,33389453,0,158061946,0,7350327,0,31337528,0,8015227,0,0,7413877,0,1107429,0,0,1604487,0,586518,0,0,657543,0,2609767,0,0,5418409,0,0,0,0,0,0,0,0,0,0,755550,0,0,1094671,0,0,739935,0,0,1072046,0,159510,0,0,331176,0,390280,0,0,1433028,0,0,14364216,0,97082068,0,19025237,0,60979878,4006016,0,0,3717064
