facility.oshpd.id,facility.hospital.name,facility.street.address,facility.city.name,facility.zip.code,facility.county.name,facility.owner,facility.begin.date,facility.end.date,operating.rooms.surgery.recovery.services,surgeries.surgery.recovery.services,open.heart.surgeries.surgery.recovery.services,inpatient.surgeries.surgery.recovery.services,outpatient.surgeries.surgery.recovery.services,outpatient.surgeries,surgery.mins.surgery.recovery.services,open.heart.surgery.mins.surgery.recovery.services,inpatient.surgery.mins.surgery.recovery.services,outpatient.surgery.mins.surgery.recovery.services,gross.revenue.surgery.recovery.services,gross.revenue.total,net.revenue.surgery.recovery.services,net.revenue.total,net.profit.surgery.recovery.services,net.profit.total,gross.revenue.surgery.recovery.services.medicare.traditional,gross.revenue.surgery.recovery.services.medicare.managed,gross.revenue.surgery.recovery.services.medical.traditional,gross.revenue.surgery.recovery.services.medical.managed,gross.revenue.surgery.recovery.services.county.indigent.traditional,gross.revenue.surgery.recovery.services.county.indigent.managed,gross.revenue.surgery.recovery.services.other.third.parties.traditional,gross.revenue.surgery.recovery.services.other.third.parties.managed,gross.revenue.surgery.recovery.services.other.indigent,gross.revenue.surgery.recovery.services.other.payors,reporting.period.months,surgeries.surgery.recovery.services.month,open.heart.surgeries.surgery.recovery.services.month,inpatient.surgeries.surgery.recovery.services.month,outpatient.surgeries.surgery.recovery.services.month,outpatient.surgeries.month,surgery.mins.surgery.recovery.services.month,open.heart.surgery.mins.surgery.recovery.services.month,inpatient.surgery.mins.surgery.recovery.services.month,outpatient.surgery.mins.surgery.recovery.services.month,gross.revenue.surgery.recovery.services.month,gross.revenue.total.month,net.revenue.surgery.recovery.services.month,net.revenue.total.month,gross.revenue.surgery.recovery.services.medicare.traditional.month,gross.revenue.surgery.recovery.services.medicare.managed.month,gross.revenue.surgery.recovery.services.medical.traditional.month,gross.revenue.surgery.recovery.services.medical.managed.month,gross.revenue.surgery.recovery.services.county.indigent.traditional.month,gross.revenue.surgery.recovery.services.county.indigent.managed.month,gross.revenue.surgery.recovery.services.other.third.parties.traditional.month,gross.revenue.surgery.recovery.services.other.third.parties.managed.month,gross.revenue.surgery.recovery.services.other.indigent.month,gross.revenue.surgery.recovery.services.other.payors.month,net.profit.surgery.recovery.services.month,net.profit.total.month,gross.revenue.surgery.recovery.services.month.per.or,gross.revenue.surgery.recovery.services.month.per.surgery,gross.revenue.surgery.recovery.services.month.per.hour.of.surgery,net.revenue.surgery.recovery.services.month.per.or,net.revenue.surgery.recovery.services.month.per.surgery,net.revenue.surgery.recovery.services.month.per.hour.of.surgery,net.profit.surgery.recovery.services.month.per.or,net.profit.surgery.recovery.services.month.per.surgery,net.profit.surgery.recovery.services.month.per.hour.of.surgery,gross.revenue.surgery.recovery.services.indigent.month,gross.revenue.surgery.recovery.services.medical.month,gross.revenue.surgery.recovery.services.medicare.month,gross.revenue.surgery.recovery.services.other.month,gross.revenue.managed.month,gross.revenue.traditional.month,managed.traditional.ratio,proportion.revenue.indigent,proportion.revenue.other,proportion.revenue.medical,proportion.revenue.medicare
106380929,CALIFORNIA PACIFIC MEDICAL CENTER,2333 BUCHANAN STREET,SAN FRANCISCO,94120,0,SUTTER WEST BAY HOSPITALS,1/1/14,12/31/14,11,16745,251,6872,9873,9897,2195235,83955,1211445,983790,327398550,3434305169,109196925,1198851359,43596325,178763170,88960063,23269532,8633644,21520338,0,44064,13839433,141615924,6404197,23111355,12,1395.41666666667,20.9166666666667,572.666666666667,822.75,824.75,182936.25,6996.25,100953.75,81982.5,27283212.5,286192097.416667,9099743.75,99904279.9166667,7413338.58333333,1939127.66666667,719470.333333333,1793361.5,0,3672,1153286.08333333,11801327,533683.083333333,1925946.25,3633027.08333333,14896930.8333333,2480292.04545455,19552.018512989,8948.43285570793,827249.431818182,6521.16601970738,2984.56224504438,330275.189393939,2603.54284861153,1191.57151740019,537355.083333333,2512831.83333333,9352466.25,14880559.3333333,15537488.1666667,11745724.3333333,1.32282077509453,0.019695447643247,0.545410821153606,0.0921017579338699,0.342791973269277
106010739,ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMPUS,2450 ASHBY AVENUE,BERKELEY,94705,Alameda County,SUTTER HEALTH,1/1/14,12/31/14,13,6421,6,2583,3838,3838,708105,630,365130,342975,158978530,1988942795,48444608,614102579,16279391,34708952,48934733,7745116,8259964,20862695,43756,0,3674046,67879639,172244,1406337,12,535.083333333333,0.5,215.25,319.833333333333,319.833333333333,59008.75,52.5,30427.5,28581.25,13248210.8333333,165745232.916667,4037050.66666667,51175214.9166667,4077894.41666667,645426.333333333,688330.333333333,1738557.91666667,3646.33333333333,0,306170.5,5656636.58333333,14353.6666666667,117194.75,1356615.91666667,2892412.66666667,1019093.14102564,24759.1543373306,13470.7589976063,310542.358974359,7544.71390749104,4104.86648166586,104355.070512821,2535.33577324404,1379.40483402885,18000,2426888.25,4723320.75,6080001.83333333,8040620.83333333,5207590,1.54401956247196,0.00135867402975735,0.458930032879283,0.183186113244348,0.356525179846612
106010776,CHILDREN'S HOSPITAL & RESEARCH CENTER OAKLAND,747 52ND STREET,OAKLAND,94609,Alameda County,CHILDREN'S HOSPITAL & RESEARCH CENTER OAKLAND,1/1/14,12/31/14,12,8529,121,3497,5032,5032,737700,37169,432360,305340,189223221,1181085821,68381792,451108465,18952413,-11439380,43235,0,76543078,46260334,162820,0,9470,65115355,692615,396314,12,710.75,10.0833333333333,291.416666666667,419.333333333333,419.333333333333,61475,3097.41666666667,36030,25445,15768601.75,98423818.4166667,5698482.66666667,37592372.0833333,3602.91666666667,0,6378589.83333333,3855027.83333333,13568.3333333333,0,789.166666666667,5426279.58333333,57717.9166666667,33026.1666666667,1579367.75,-953281.666666667,1314050.14583333,22185.8624692227,15390.2579097194,474873.555555556,8017.56266854262,5561.75616104107,131613.979166667,2222.11431586352,1541.473200488,71286.25,10233617.6666667,3602.91666666667,5460094.91666667,9281307.41666667,6487294.33333333,1.43069004422645,0.00452077179259093,0.346263733667233,0.648987007783786,0.000228486756390221
106010846,HIGHLAND HOSPITAL,1411 EAST 31ST STREET,OAKLAND,94602,Alameda County,ALAMEDA HEALTH SYSTEM,7/1/13,6/30/14,7,5581,0,2779,2802,2802,804443,0,474983,329460,101483473,1462432309,26508814,572484836,-3844213,50307415,8918925,701879,22589858,24849053,34887307,0,6737571,0,0,2798880,12,465.083333333333,0,231.583333333333,233.5,233.5,67036.9166666667,0,39581.9166666667,27455,8456956.08333333,121869359.083333,2209067.83333333,47707069.6666667,743243.75,58489.9166666667,1882488.16666667,2070754.41666667,2907275.58333333,0,561464.25,0,0,233240,-320351.083333333,4192284.58333333,1208136.58333333,18183.7435943379,7569.22290330079,315581.119047619,4749.83228812041,1977.18028499222,-45764.4404761905,-688.803619423043,-286.723583895938,2907275.58333333,3953242.58333333,801733.666666667,794704.25,2129244.33333333,6327711.75,0.336495152980591,0.343773286119209,0.0939704832529726,0.467454547993248,0.0948016826345705
106010937,ALTA BATES SUMMIT MEDICAL CENTER - SUMMIT HAWTHORNE,HAWTHORNE AVE & WEBSTER ST,OAKLAND,94609,Alameda County,SUTTER HEALTH,1/1/14,12/31/14,12,5452,280,2791,2661,4388,734475,80700,437700,296775,166314735,1442289054,34944060,311718438,10721153,-58510201,52227357,14187273,5199614,31140814,0,0,3812856,58582317,116858,1047646,12,454.333333333333,23.3333333333333,232.583333333333,221.75,365.666666666667,61206.25,6725,36475,24731.25,13859561.25,120190754.5,2912005,25976536.5,4352279.75,1182272.75,433301.166666667,2595067.83333333,0,0,317738,4881859.75,9738.16666666667,87303.8333333333,893429.416666667,-4875850.08333333,1154963.4375,30505.27054292,13586.4176452568,242667.083333333,6409.402054292,2854.61533748596,74452.4513888889,1966.46239911959,875.821750229756,9738.16666666667,3028369,5534552.5,5286901.58333333,8659200.33333333,5200360.91666667,1.66511526259291,0.000702631670008072,0.381462406202313,0.218503958774308,0.399331003353371
106010967,ST. ROSE HOSPITAL,27200 CALAROGA AVENUE,HAYWARD,94545,Alameda County,HAYWARD SISTERS HOSPITAL,10/1/13,9/30/14,4,1969,0,1458,511,2634,441399,0,326893,114506,74822484,651628076,11507134,110462641,5330339,-8303476,21911212,6749586,5240810,25449862,0,0,3094353,11825863,233366,317432,12,164.083333333333,0,121.5,42.5833333333333,219.5,36783.25,0,27241.0833333333,9542.16666666667,6235207,54302339.6666667,958927.833333333,9205220.08333333,1825934.33333333,562465.5,436734.166666667,2120821.83333333,0,0,257862.75,985488.583333333,19447.1666666667,26452.6666666667,444194.916666667,-691956.333333333,1558801.75,38000.2458100559,10170.7277089436,239731.958333333,5844.15134586084,1564.18125097701,111048.729166667,2707.13001523616,724.560635615396,19447.1666666667,2557556,2388399.83333333,1269804,3668775.91666667,2566431.08333333,1.42952442420608,0.00311892879685737,0.20365065666625,0.410179806380125,0.383050608156767
106010987,WASHINGTON HOSPITAL - FREMONT,2000 MOWRY AVENUE,FREMONT,94538,Alameda County,WASHINGTON TOWNSHIP HEALTHCARE DISTRICT,7/1/13,6/30/14,7,4178,111,3360,818,818,535360,51963,461087,74273,125095409,1997932020,25179596,411616844,-3951971,6102604,67318565,4865790,4290769,6297952,0,0,5665097,35046365,711481,899390,12,348.166666666667,9.25,280,68.1666666666667,68.1666666666667,44613.3333333333,4330.25,38423.9166666667,6189.41666666667,10424617.4166667,166494335,2098299.66666667,34301403.6666667,5609880.41666667,405482.5,357564.083333333,524829.333333334,0,0,472091.416666667,2920530.41666667,59290.0833333333,74949.1666666667,-329330.916666667,508550.333333333,1489231.05952381,29941.4573958832,14019.9576733413,299757.095238095,6026.71038774533,2821.98102211596,-47047.2738095238,-945.900191479177,-442.913665570831,59290.0833333333,882393.416666667,6015362.91666667,3467571,3850842.25,6573775.16666667,0.585788554121273,0.00568750688524469,0.332632926600847,0.0846451607188878,0.57703440579502
106014050,VALLEYCARE MEDICAL CENTER,5555 W. LAS POSITAS BLVD,PLEASANTON,94588,Alameda County,THE HOSPITAL COMMITTEE OF LIVERMORE,7/1/13,6/30/14,11,5660,53,2830,2830,4337,567416,17964,337061,230355,170171620,1170738738,34845448,239957335,8807538,-10507434,59546815,6191958,1150539,5730097,0,0,13667126,81385246,724470,1775369,12,471.666666666667,4.41666666666667,235.833333333333,235.833333333333,361.416666666667,47284.6666666667,1497,28088.4166666667,19196.25,14180968.3333333,97561561.5,2903787.33333333,19996444.5833333,4962234.58333333,515996.5,95878.25,477508.083333333,0,0,1138927.16666667,6782103.83333333,60372.5,147947.416666667,733961.5,-875619.5,1289178.93939394,30065.6572438163,17994.3766125735,263980.666666667,6156.43957597173,3684.64562155456,66723.7727272727,1556.10212014134,931.331298377205,60372.5,573386.333333333,5478231.08333333,8068978.41666667,7775608.41666667,6405359.91666667,1.21392217109216,0.00425729037544568,0.569000524294239,0.0404335105935996,0.386308674736716
106014233,EDEN MEDICAL CENTER,20103 LAKE CHABOT ROAD,CASTRO VALLEY,94546,Alameda County,EDEN MEDICAL CENTER,1/1/14,12/31/14,7,3382,5,2018,1364,1364,435705,1020,297555,138150,88601107,1084032153,23846733,282124826,1219486,8709986,27291583,6574676,4343040,7017892,1952,0,3078852,38567298,367200,1358614,12,281.833333333333,0.416666666666667,168.166666666667,113.666666666667,113.666666666667,36308.75,85,24796.25,11512.5,7383425.58333333,90336012.75,1987227.75,23510402.1666667,2274298.58333333,547889.666666667,361920,584824.333333333,162.666666666667,0,256571,3213941.5,30600,113217.833333333,101623.833333333,725832.166666667,1054775.08333333,26197.8435836783,12201.0681998141,283889.678571429,7051.07421643998,3283.88239749372,14517.6904761905,360.581312832643,167.932798567838,30762.6666666667,946744.333333333,2822188.25,3583730.33333333,4346655.5,3036770.08333333,1.43134164942407,0.00416644907156747,0.485375019072843,0.128225621379652,0.382232910475938
106034002,SUTTER AMADOR HOSPITAL,200 MISSION BLVD,JACKSON,95642,Amador County,SUTTER HEALTH,1/1/14,12/31/14,3,1446,0,760,686,686,142800,0,87360,55440,21458617,220004830,7052911,74392306,226286,9898702,10297060,806547,1762687,3071461,0,1145,498501,4579272,258059,183885,12,120.5,0,63.3333333333333,57.1666666666667,57.1666666666667,11900,0,7280,4620,1788218.08333333,18333735.8333333,587742.583333333,6199358.83333333,858088.333333333,67212.25,146890.583333333,255955.083333333,0,95.4166666666667,41541.75,381606,21504.9166666667,15323.75,18857.1666666667,824891.833333333,596072.694444445,14839.9840940526,9016.2256302521,195914.194444445,4877.53181189488,2963.40798319328,6285.72222222222,156.491009681881,95.0781512605042,21600.3333333333,402845.666666667,925300.583333333,438471.5,704868.75,1083349.33333333,0.650638467493403,0.012079250028089,0.245200238207337,0.225277705455109,0.517442806309465
